profile,description,config_file,ring_radii,ring_volts
linear_decreasing,straight-line drop (baseline reference),input_polar_linear_decreasing.toml,"[0.3, 0.6, 0.9, 1.2, 1.5, 1.8, 2.1, 2.4, 2.7, 3.0]","[1.0, 0.8889, 0.7778, 0.6667, 0.5556, 0.4444, 0.3333, 0.2222, 0.1111, 0.0]"
linear_increasing,straight-line rise (reverse of baseline),input_polar_linear_increasing.toml,"[0.3, 0.6, 0.9, 1.2, 1.5, 1.8, 2.1, 2.4, 2.7, 3.0]","[0.0, 0.1111, 0.2222, 0.3333, 0.4444, 0.5556, 0.6667, 0.7778, 0.8889, 1.0]"
convex_decreasing_quad,"steep drop near center, flattens near edge",input_polar_convex_decreasing_quad.toml,"[0.3, 0.6, 0.9, 1.2, 1.5, 1.8, 2.1, 2.4, 2.7, 3.0]","[1.0, 0.7901, 0.6049, 0.4444, 0.3086, 0.1975, 0.1111, 0.0494, 0.0123, 0.0]"
concave_increasing_quad,"steep rise near center, flattens toward the edge (flip of convex_decreasing_quad)",input_polar_concave_increasing_quad.toml,"[0.3, 0.6, 0.9, 1.2, 1.5, 1.8, 2.1, 2.4, 2.7, 3.0]","[0.0, 0.2099, 0.3951, 0.5556, 0.6914, 0.8025, 0.8889, 0.9506, 0.9877, 1.0]"
concave_decreasing_quad,"flat near center, steep drop near edge",input_polar_concave_decreasing_quad.toml,"[0.3, 0.6, 0.9, 1.2, 1.5, 1.8, 2.1, 2.4, 2.7, 3.0]","[1.0, 0.9877, 0.9506, 0.8889, 0.8025, 0.6914, 0.5556, 0.3951, 0.2099, 0.0]"
convex_increasing_quad,"flat near center, steep rise near edge (flip of concave_decreasing_quad)",input_polar_convex_increasing_quad.toml,"[0.3, 0.6, 0.9, 1.2, 1.5, 1.8, 2.1, 2.4, 2.7, 3.0]","[0.0, 0.0123, 0.0494, 0.1111, 0.1975, 0.3086, 0.4444, 0.6049, 0.7901, 1.0]"
convex_decreasing_cubic,even steeper initial drop than quadratic,input_polar_convex_decreasing_cubic.toml,"[0.3, 0.6, 0.9, 1.2, 1.5, 1.8, 2.1, 2.4, 2.7, 3.0]","[1.0, 0.7023, 0.4705, 0.2963, 0.1715, 0.0878, 0.037, 0.011, 0.0014, 0.0]"
concave_increasing_cubic,"very steep rise right at center, flattens quickly (flip of convex_decreasing_cubic)",input_polar_concave_increasing_cubic.toml,"[0.3, 0.6, 0.9, 1.2, 1.5, 1.8, 2.1, 2.4, 2.7, 3.0]","[0.0, 0.2977, 0.5295, 0.7037, 0.8285, 0.9122, 0.963, 0.989, 0.9986, 1.0]"
concave_decreasing_cubic,"even flatter near center, drop concentrated at edge",input_polar_concave_decreasing_cubic.toml,"[0.3, 0.6, 0.9, 1.2, 1.5, 1.8, 2.1, 2.4, 2.7, 3.0]","[1.0, 0.9986, 0.989, 0.963, 0.9122, 0.8285, 0.7037, 0.5295, 0.2977, 0.0]"
convex_increasing_cubic,"flat near center, sharp rise concentrated at the edge (flip of concave_decreasing_cubic)",input_polar_convex_increasing_cubic.toml,"[0.3, 0.6, 0.9, 1.2, 1.5, 1.8, 2.1, 2.4, 2.7, 3.0]","[0.0, 0.0014, 0.011, 0.037, 0.0878, 0.1715, 0.2963, 0.4705, 0.7023, 1.0]"
